domain,problem_size,best_algorithm,variant_param,best_ns_per_run,speedup_vs_baseline,case_id,notes
matrix_dot,16384,matrix_dot_cache,128.0,79714.0625,1.0530999470764648,m_128_cache_128,m_128_cache_128:cache_tile_128_size_128; digest=13064476336938546383
matrix_dot,36864,matrix_dot_cache,128.0,182846.875,1.0138948231956384,m_192_cache_128,m_192_cache_128:cache_tile_128_size_192; digest=10614270075660950329
matrix_dot,65536,matrix_dot_cache,256.0,305612.5,1.0869565217391304,m_256_cache_256,m_256_cache_256:cache_tile_256_size_256; digest=12923839507462904676
matrix_dot,147456,matrix_dot_cache,256.0,668962.5,1.126987686155801,m_384_cache_256,m_384_cache_256:cache_tile_256_size_384; digest=14173234167593883340
matrix_dot,262144,matrix_dot_cache,256.0,1279634.375,1.2747183643765432,m_512_cache_256,m_512_cache_256:cache_tile_256_size_512; digest=4939301634244250759
matrix_dot,589824,matrix_dot_cache,256.0,2862937.5,1.2582138101163578,m_768_cache_256,m_768_cache_256:cache_tile_256_size_768; digest=17702062449183340215
matrix_dot,1048576,matrix_dot_cache,256.0,4981025.0,1.4547153321856445,m_1024_cache_256,m_1024_cache_256:cache_tile_256_size_1024; digest=1390044789617888298
matrix_dot,2359296,matrix_dot_cache,256.0,11361390.625,1.9767568065638972,m_1536_cache_256,m_1536_cache_256:cache_tile_256_size_1536; digest=10901834921722660545
sum_reduce,1024,sum_superscalar,8.0,120.3125,3.7532467532467533,s_1024_super_8,s_1024_super_8:superscalar_l8_len_1024; digest=1945014909799951026
sum_reduce,2048,sum_superscalar,16.0,238.28125,3.8819672131147542,s_2048_super_16,s_2048_super_16:superscalar_l16_len_2048; digest=875114522252008882
sum_reduce,4096,sum_superscalar,8.0,454.6875,3.9621993127147768,s_4096_super_8,s_4096_super_8:superscalar_l8_len_4096; digest=15935571721299040219
sum_reduce,8192,sum_superscalar,16.0,982.8125,3.8251192368839426,s_8192_super_16,s_8192_super_16:superscalar_l16_len_8192; digest=15710132319156586625
sum_reduce,16384,sum_superscalar,16.0,1895.3125,3.7646331409727947,s_16384_super_16,s_16384_super_16:superscalar_l16_len_16384; digest=6570264492908530489
sum_reduce,32768,sum_superscalar,16.0,3846.875,3.9762388302193337,s_32768_super_16,s_32768_super_16:superscalar_l16_len_32768; digest=15977494852788903549
sum_reduce,65536,sum_superscalar,16.0,8443.75,3.6466506291635827,s_65536_super_16,s_65536_super_16:superscalar_l16_len_65536; digest=139477804321114040
sum_reduce,131072,sum_superscalar,16.0,15303.125,4.019705942413722,s_131072_super_16,s_131072_super_16:superscalar_l16_len_131072; digest=8059476930382963869
sum_reduce,262144,sum_superscalar,16.0,37145.3125,3.2953350439574307,s_262144_super_16,s_262144_super_16:superscalar_l16_len_262144; digest=9616121280737353496
sum_reduce,524288,sum_superscalar,16.0,63675.0,3.7215474087161367,s_524288_super_16,s_524288_super_16:superscalar_l16_len_524288; digest=10378722733227782538
